# پروندهٔ تاریخ نمونه (سینتتیک) — اعداد واقعی بازار نیستند
# ستون‌ها: تاریخ · نماد · راهبرد · فیلدهای ریاضی · وجه تضمین · نقدشوندگی · اسپرد · نرخ سد · نتیجهٔ واقعی سالانه
date,symbol,kind,spot,future,strike,premium,put_price,stock_price,call,put,call_low,put_low,call_high,put_high,strike_low,strike_high,rate,days,margin_per_contract,liquidity_contracts_per_day,spread_pct,hurdle,realized_annualized_pct
1405-01-15,اهرم,basis,20000,21920,,,,,,,,,,,,,,90,20000000,900,0.005,0.33,29.8
1405-01-15,طلا,basis,20000,21773,,,,,,,,,,,,,,60,20000000,700,0.006,0.33,44.6
1405-01-15,فولاد,covered_call,7000,,7600,357,,,,,,,,,,,,45,7000,160,0.018,0.33,47.7
1405-01-15,شپنا,covered_call,9000,,9600,419,,,,,,,,,,,,30,9000,90,0.02,0.33,48.2
1405-01-15,کگل,tabei,,,14210,,40,9800,,,,,,,,,,365,9840,240,0.02,0.33,-8.3
1405-01-15,خساپا,tabei,,,3000,,14,2500,,,,,,,,,,270,2512,320,0.012,0.33,3.8
1405-01-15,شستا,tabei,,,1320,,8,1200,,,,,,,,,,200,1205,400,0.015,0.33,-56.8
1405-01-15,وبملت,parity,9000,,9000,,,,638,380,,,,,,,0.39,30,9000,80,0.02,0.33,64.1
1405-01-15,شپدیس,box,,,,,,,,,89,123,75,164,1200,1500,,45,250000,60,0.025,0.33,36.5
1405-01-15,فملی,box,,,,,,,,,89,122,75,164,800,1100,,30,200000,45,0.022,0.33,32.4
1405-02-15,اهرم,basis,20000,22487,,,,,,,,,,,,,,90,20000000,900,0.005,0.34,16.4
1405-02-15,طلا,basis,20000,21651,,,,,,,,,,,,,,60,20000000,700,0.006,0.34,62.8
1405-02-15,فولاد,covered_call,7000,,7600,355,,,,,,,,,,,,45,7000,160,0.018,0.34,39.8
1405-02-15,شپنا,covered_call,9000,,9600,435,,,,,,,,,,,,30,9000,90,0.02,0.34,69.3
1405-02-15,کگل,tabei,,,14210,,34,9800,,,,,,,,,,365,9840,240,0.02,0.34,50.9
1405-02-15,خساپا,tabei,,,3000,,14,2500,,,,,,,,,,270,2512,320,0.012,0.34,42.1
1405-02-15,شستا,tabei,,,1320,,5,1200,,,,,,,,,,200,1205,400,0.015,0.34,65.4
